trial,composition,agent,agent_type,wealth,return_pct
19,financial_focused,mean_rev_4,mean_rev,9736.91325936728,-2.6308674063271975
19,financial_focused,value_5,value,9938.44184721031,-0.6155815278969021
19,financial_focused,value_6,value,9938.44184721031,-0.6155815278969021
19,financial_focused,value_7,value,9938.44184721031,-0.6155815278969021
19,financial_focused,career_8,career,11325.841686206611,13.258416862066115
20,financial_focused,random_0,random,6757.026876445257,-32.429731235547436
20,financial_focused,momentum_1,momentum,8065.672427759475,-19.343275722405252
20,financial_focused,momentum_2,momentum,8065.672427759475,-19.343275722405252
20,financial_focused,mean_rev_3,mean_rev,9253.591033832332,-7.46408966167668
20,financial_focused,mean_rev_4,mean_rev,9253.591033832332,-7.46408966167668
20,financial_focused,value_5,value,9417.10756982019,-5.828924301798106
20,financial_focused,value_6,value,9417.10756982019,-5.828924301798106
20,financial_focused,value_7,value,9417.10756982019,-5.828924301798106
20,financial_focused,career_8,career,9211.419337817199,-7.8858066218280145
21,financial_focused,random_0,random,6875.426646708332,-31.245733532916685
21,financial_focused,momentum_1,momentum,8539.41667514993,-14.605833248500694
21,financial_focused,momentum_2,momentum,8539.41667514993,-14.605833248500694
21,financial_focused,mean_rev_3,mean_rev,11271.300672028272,12.713006720282719
21,financial_focused,mean_rev_4,mean_rev,11271.300672028272,12.713006720282719
21,financial_focused,value_5,value,10296.748550860713,2.967485508607133
21,financial_focused,value_6,value,10296.748550860713,2.967485508607133
21,financial_focused,value_7,value,10296.748550860713,2.967485508607133
21,financial_focused,career_8,career,10029.297463709581,0.2929746370958128
22,financial_focused,random_0,random,6383.285976659254,-36.167140233407466
22,financial_focused,momentum_1,momentum,8135.121347726267,-18.64878652273733
22,financial_focused,momentum_2,momentum,8135.121347726267,-18.64878652273733
22,financial_focused,mean_rev_3,mean_rev,10957.265027647836,9.572650276478361
22,financial_focused,mean_rev_4,mean_rev,10957.265027647836,9.572650276478361
22,financial_focused,value_5,value,10853.205661564694,8.532056615646944
22,financial_focused,value_6,value,10853.205661564694,8.532056615646944
22,financial_focused,value_7,value,10853.205661564694,8.532056615646944
22,financial_focused,career_8,career,9741.609954953128,-2.583900450468718
23,financial_focused,random_0,random,6251.209494326975,-37.48790505673025
23,financial_focused,momentum_1,momentum,8862.945763672209,-11.37054236327791
23,financial_focused,momentum_2,momentum,8862.945763672209,-11.37054236327791
23,financial_focused,mean_rev_3,mean_rev,11634.072723937343,16.34072723937343
23,financial_focused,mean_rev_4,mean_rev,11634.072723937343,16.34072723937343
